TIPO	LEMMA	ABS_FREQ	FREQ_IN_CXN	LOGL
gruppo1	illecito	7160	12	27.4649
basi	lecito	4320	1607	21327.46723
gruppo1	illeggibile	325	0	0
basi	leggibile	772	0	0
gruppo1	illegittimo	2757	18	86.65341
basi	legittimo	11745	443	3677.42211
gruppo1	illeso	793	0	0
basi	leso	1015	0	0
gruppo1	illetterato	47	0	0
basi	letterato	461	0	0
gruppo1	illimitato	1532	0	0
basi	limitato	3989	0	0
gruppo1	illogico	452	19	161.81593
basi	logico	4648	290	2704.82702
gruppo1	imbattibile	1015	0	0
basi	battibile	63	0	0
gruppo1	imbattuto	203	0	0
basi	battuto	2753	0	0
gruppo1	immaturo	543	0	0
basi	maturo	5082	0	0
gruppo1	immemorabile	379	0	0
basi	memorabile	3369	0	0
gruppo1	immemore	195	0	0
basi	memore	707	0	0
gruppo1	immeritato	432	0	0
basi	meritato	1305	0	0
gruppo1	immeritevole	47	0	0
basi	meritevole	1437	0	0
gruppo1	immobile	4521	0	0
basi	mobile	2539	0	0
gruppo1	immodificabile	126	0	0
basi	modificabile	228	0	0
gruppo1	immortale	1144	0	0
basi	mortale	6597	0	0
gruppo1	immotivato	910	0	0
basi	motivato	1494	0	0
gruppo1	immutabile	1014	0	0
basi	mutabile	35	0	0
gruppo1	impalpabile	688	0	0
basi	palpabile	946	0	0
gruppo1	imparagonabile	37	0	0
basi	paragonabile	2473	0	0
gruppo1	imparziale	1165	0	0
basi	parziale	7884	0	0
gruppo1	impavido	411	0	0
basi	pavido	181	0	0
gruppo1	impaziente	1203	0	0
basi	paziente	58	0	0
gruppo1	impenetrabile	1316	0	0
basi	penetrabile	30	0	0
gruppo1	impenitente	282	0	0
basi	penitente	161	0	0
gruppo1	impensabile	3943	238	2203.48182
basi	pensabile	1550	129	1279.88675
gruppo1	impercettibile	849	0	0
basi	percettibile	193	0	0
gruppo1	impercorribile	115	0	0
basi	percorribile	1170	0	0
gruppo1	imperdonabile	1061	9	47.91303
basi	perdonabile	92	0	0
gruppo1	impermeabile	854	0	0
basi	permeabile	187	0	0
gruppo1	impertinente	450	0	0
basi	pertinente	859	5	22.96
gruppo1	impietoso	2439	0	0
basi	pietoso	1039	0	0
gruppo1	implausibile	39	0	0
basi	plausibile	1975	20	113.42282
gruppo1	impoetico	23	0	0
basi	poetico	5114	0	0
gruppo1	impraticabile	1490	0	0
basi	praticabile	2300	0	0
gruppo1	impreparato	1536	0	0
basi	preparato	1366	0	0
gruppo1	impresentabile	256	0	0
basi	presentabile	447	0	0
gruppo1	imprevedibile	5570	0	0
basi	prevedibile	7678	0	0
gruppo1	imprevidente	51	0	0
basi	previdente	234	0	0
gruppo1	imprevisto	2942	0	0
basi	previsto	8330	0	0
gruppo1	improbabile	7904	17	46.39256
basi	probabile	21513	7	0
gruppo1	improponibile	1240	8	38.32742
basi	proponibile	352	0	0
gruppo1	improrogabile	334	0	0
basi	prorogabile	157	0	0
gruppo1	improvvido	438	0	0
basi	provvido	209	0	0
gruppo1	imprudente	683	50	482.71875
basi	prudente	7352	77	441.82179
gruppo1	impudico	230	0	0
basi	pudico	528	0	0
gruppo1	inabile	228	0	0
basi	abile	5736	0	0
gruppo1	inabitabile	99	0	0
basi	abitabile	211	0	0
gruppo1	inabituale	30	0	0
basi	abituale	4435	0	0
gruppo1	inaccessibile	1056	0	0
basi	accessibile	1822	0	0
gruppo1	inaccettabile	6999	47	228.84063
basi	accettabile	6058	28	116.19557
gruppo1	inadatto	819	0	0
basi	adatto	8736	0	0
gruppo1	inadeguato	3658	0	0
basi	adeguato	8925	0	0
gruppo1	inafferrabile	905	0	0
basi	afferrabile	48	0	0
gruppo1	inaffidabile	1031	0	0
basi	affidabile	3475	0	0
gruppo1	inagibile	451	0	0
basi	agibile	362	0	0
gruppo1	inalienabile	413	0	0
basi	alienabile	61	0	0
gruppo1	inalterato	1206	0	0
basi	alterato	328	0	0
gruppo1	inammissibile	2042	30	192.18815
basi	ammissibile	1117	37	297.26065
gruppo1	inanimato	258	0	0
basi	animato	2338	0	0
gruppo1	inappagato	163	0	0
basi	appagato	334	0	0
gruppo1	inappellabile	419	0	0
basi	appellabile	42	0	0
gruppo1	inapplicabile	341	0	0
basi	applicabile	1067	0	0
gruppo1	inappropriato	33	0	0
basi	appropriato	1580	6	22.66156
gruppo1	inarrestabile	2447	0	0
basi	arrestabile	29	0	0
gruppo1	inarticolato	51	0	0
basi	articolato	2820	0	0
gruppo1	inattaccabile	729	0	0
basi	attaccabile	66	0	0
gruppo1	inattendibile	721	0	0
basi	attendibile	4336	0	0
gruppo1	inatteso	4791	0	0
basi	atteso	4245	0	0
gruppo1	inattuabile	134	0	0
basi	attuabile	276	0	0
gruppo1	inaugurale	1976	0	0
basi	augurale	337	0	0
gruppo1	inavvertibile	32	0	0
basi	avvertibile	251	0	0
gruppo1	inavvicinabile	321	0	0
basi	avvicinabile	104	0	0
gruppo1	incalcolabile	811	0	0
basi	calcolabile	208	0	0
gruppo1	incancellabile	299	0	0
basi	cancellabile	54	0	0
gruppo1	incauto	983	9	49.25853
basi	cauto	6938	0	0
gruppo1	incedibile	289	0	0
basi	cedibile	141	0	0
gruppo1	inclassificabile	88	0	0
basi	classificabile	161	0	0
gruppo1	inclemente	139	0	0
basi	clemente	318	0	0
gruppo1	incoerente	547	5	27.3497
basi	coerente	5820	8	15.60544
gruppo1	incolmabile	637	0	0
basi	colmabile	75	0	0
gruppo1	incolpevole	576	0	0
basi	colpevole	11614	5	0
gruppo1	incomodo	108	0	0
basi	comodo	5583	67	402.41484
gruppo1	incomparabile	403	0	0
basi	comparabile	470	0	0
gruppo1	incompatibile	2551	0	0
basi	compatibile	3156	0	0
gruppo1	incompetente	811	0	0
basi	competente	6966	0	0
gruppo1	incompiuto	1739	0	0
basi	compiuto	1683	0	0
gruppo1	incomprensibile	4229	12	38.7991
basi	comprensibile	6119	10	22.45107
gruppo1	inconcepibile	961	38	318.92071
basi	concepibile	468	26	236.23136
gruppo1	inconciliabile	945	0	0
basi	conciliabile	283	0	0
gruppo1	inconcludente	731	0	0
basi	concludente	42	0	0
gruppo1	incondizionato	1517	0	0
basi	condizionato	1404	0	0
gruppo1	inconfessabile	648	0	0
basi	confessabile	107	0	0
gruppo1	inconfondibile	1573	0	0
basi	confondibile	45	0	0
gruppo1	inconfutabile	503	0	0
basi	confutabile	57	0	0
gruppo1	incongruo	721	0	0
basi	congruo	1425	0	0
gruppo1	inconsapevole	1260	0	0
basi	consapevole	8223	0	0
gruppo1	inconscio	1206	0	0
basi	conscio	958	0	0
gruppo1	inconsistente	783	0	0
basi	consistente	12737	0	0
gruppo1	inconsueto	2385	0	0
basi	consueto	7962	0	0
gruppo1	incontenibile	1064	0	0
basi	contenibile	44	0	0
gruppo1	incontestabile	675	0	0
basi	contestabile	412	0	0
gruppo1	incontrastato	1400	0	0
basi	contrastato	713	0	0
gruppo1	incontrollabile	1963	0	0
basi	controllabile	909	0	0
gruppo1	incontrollato	1727	0	0
basi	controllato	6897	0	0
gruppo1	incontrovertibile	458	0	0
basi	controvertibile	31	0	0
gruppo1	inconveniente	183	0	0
basi	conveniente	3617	154	1315.78748
gruppo1	incorporeo	98	0	0
basi	corporeo	959	0	0
gruppo1	incorreggibile	220	0	0
basi	correggibile	42	0	0
gruppo1	incorrotto	81	0	0
basi	corrotto	2527	0	0
gruppo1	incorruttibile	194	0	0
basi	corruttibile	77	0	0
gruppo1	incosciente	661	5	25.49995
basi	cosciente	2019	0	0
gruppo1	incostante	241	0	0
basi	costante	11565	0	0
gruppo1	incredibile	13872	48	172.92016
basi	credibile	8110	12	24.89924
gruppo1	incruento	351	0	0
basi	cruento	1229	0	0
gruppo1	incurabile	640	0	0
basi	curabile	203	0	0
gruppo1	incurante	1060	0	0
basi	curante	378	0	0
gruppo1	indecente	1038	13	79.16963
basi	decente	1596	0	0
gruppo1	indecifrabile	908	0	0
basi	decifrabile	313	0	0
gruppo1	indeciso	1908	0	0
basi	deciso	13276	0	0
gruppo1	indecoroso	464	0	0
basi	decoroso	762	0	0
gruppo1	indefinibile	522	0	0
basi	definibile	331	0	0
gruppo1	indefinito	1037	0	0
basi	definito	3282	0	0
gruppo1	indegno	1363	7	30.45857
basi	degno	7372	0	0
gruppo1	inderogabile	497	0	0
basi	derogabile	23	0	0
gruppo1	indescrivibile	389	0	0
basi	descrivibile	50	0	0
gruppo1	indesiderabile	322	0	0
basi	desiderabile	562	7	42.5534
gruppo1	indeterminato	1696	0	0
basi	determinato	6260	0	0
gruppo1	indicibile	267	0	0
basi	dicibile	32	0	0
gruppo1	indifendibile	348	0	0
basi	difendibile	219	0	0
gruppo1	indifeso	1398	0	0
basi	difeso	852	0	0
gruppo1	indifferente	5652	23	89.87843
basi	differente	6697	0	0
gruppo1	indifferenziato	320	0	0
basi	differenziato	1142	0	0
gruppo1	indifferibile	172	0	0
basi	differibile	30	0	0
gruppo1	indigeribile	123	0	0
basi	digeribile	237	0	0
gruppo1	indimenticabile	3067	0	0
basi	dimenticabile	88	0	0
gruppo1	indimostrabile	103	0	0
basi	dimostrabile	201	0	0
gruppo1	indiretto	6603	0	0
basi	diretto	16425	0	0
gruppo1	indisciplinato	581	0	0
basi	disciplinato	692	0	0
gruppo1	indiscreto	1102	0	0
basi	discreto	7373	0	0
gruppo1	indiscusso	2136	0	0
basi	discusso	4819	0	0
gruppo1	indiscutibile	1770	0	0
basi	discutibile	3725	7	17.42165
gruppo1	indisposto	47	0	0
basi	disposto	3583	0	0
gruppo1	indistinguibile	83	0	0
basi	distinguibile	147	0	0
gruppo1	indistinto	780	0	0
basi	distinto	3123	0	0
gruppo1	indivisibile	523	0	0
basi	divisibile	91	0	0
gruppo1	indiviso	121	0	0
basi	diviso	2050	0	0
gruppo1	indocile	91	0	0
basi	docile	643	0	0
gruppo1	indolente	284	0	0
basi	dolente	2453	0	0
gruppo1	indubbio	2891	0	0
basi	dubbio	1266	0	0
gruppo1	indubitabile	219	0	0
basi	dubitabile	24	0	0
gruppo1	inefficace	1057	0	0
basi	efficace	14192	0	0
gruppo1	inefficiente	1281	0	0
basi	efficiente	7245	0	0
gruppo1	ineguale	194	0	0
basi	eguale	2783	0	0
gruppo1	inelegante	173	0	0
basi	elegante	11328	23	60.39891
gruppo1	ineliminabile	251	0	0
basi	eliminabile	85	0	0
gruppo1	ineludibile	498	0	0
basi	eludibile	93	0	0
gruppo1	inequivoco	100	0	0
basi	equivoco	1592	0	0
gruppo1	inesatto	742	17	123.96729
basi	esatto	7804	54	266.06801
gruppo1	inesausto	431	0	0
basi	esausto	1189	0	0
gruppo1	inesigibile	301	0	0
basi	esigibile	157	0	0
gruppo1	inesistente	4934	0	0
basi	esistente	10737	0	0
gruppo1	inesperto	816	0	0
basi	esperto	6737	0	0
gruppo1	inesploso	240	0	0
basi	esploso	3602	0	0
gruppo1	inespressivo	173	0	0
basi	espressivo	3784	0	0
gruppo1	inespresso	488	0	0
basi	espresso	1124	0	0
gruppo1	inessenziale	33	0	0
basi	essenziale	13261	186	1174.77139
gruppo1	inevaso	393	0	0
basi	evaso	335	0	0
gruppo1	infallibile	1112	0	0
basi	fallibile	42	0	0
gruppo1	infecondo	60	0	0
basi	fecondo	1039	0	0
gruppo1	infedele	1005	0	0
basi	fedele	11816	0	0
gruppo1	infinito	9442	0	0
basi	finito	3870	0	0
gruppo1	inflessibile	1438	0	0
basi	flessibile	3368	0	0
gruppo1	infondato	3434	11	38.03795
basi	fondato	364	0	0
gruppo1	informale	3749	0	0
basi	formale	11582	0	0
gruppo1	informativo	5130	0	0
basi	formativo	1844	0	0
gruppo1	informato	1084	0	0
basi	formato	223	0	0
gruppo1	infortunato	696	0	0
basi	fortunato	8526	0	0
gruppo1	infrequente	89	7	68.61904
basi	frequente	7857	33	130.93691
gruppo1	infruttifero	208	0	0
basi	fruttifero	229	0	0
gruppo1	infruttuoso	457	0	0
basi	fruttuoso	736	0	0
gruppo1	ingeneroso	764	72	733.00818
basi	generoso	7790	0	0
gruppo1	ingestibile	123	0	0
basi	gestibile	146	0	0
gruppo1	ingiustificabile	324	0	0
basi	giustificabile	572	0	0
gruppo1	inglorioso	405	0	0
basi	glorioso	4436	0	0
gruppo1	ingovernabile	655	0	0
basi	governabile	268	0	0
gruppo1	ingrato	1291	0	0
basi	grato	2323	6	18.36288
gruppo1	inguaribile	662	0	0
basi	guaribile	383	0	0
gruppo1	inidoneo	219	0	0
basi	idoneo	3507	0	0
gruppo1	inoffensivo	505	0	0
basi	offensivo	4962	21	83.62437
gruppo1	inoperante	31	0	0
basi	operante	3287	0	0
gruppo1	inoperoso	124	0	0
basi	operoso	733	0	0
gruppo1	inopportuno	2069	56	427.12064
basi	opportuno	12937	1918	21412.24403
gruppo1	inorganico	116	0	0
basi	organico	5438	0	0
gruppo1	inospitale	206	0	0
basi	ospitale	471	0	0
gruppo1	inqualificabile	280	0	0
basi	qualificabile	45	0	0
gruppo1	inquieto	3346	0	0
basi	quieto	3205	0	0
gruppo1	insanabile	927	0	0
basi	sanabile	137	0	0
gruppo1	insano	415	0	0
basi	sano	8102	5	0
gruppo1	insaturo	22	0	0
basi	saturo	762	0	0
gruppo1	inscindibile	414	0	0
basi	scindibile	32	0	0
gruppo1	insensato	1672	86	767.86999
basi	sensato	1132	32	246.85912
gruppo1	insensibile	1308	0	0
basi	sensibile	10683	0	0
gruppo1	inseparabile	954	0	0
basi	separabile	86	0	0
gruppo1	insepolto	41	0	0
basi	sepolto	1504	0	0
gruppo1	insignificante	1648	0	0
basi	significante	182	0	0
gruppo1	insincero	89	0	0
basi	sincero	5422	0	0
gruppo1	insindacabile	294	0	0
basi	sindacabile	32	0	0
gruppo1	insoddisfacente	940	0	0
basi	soddisfacente	3908	0	0
gruppo1	insoddisfatto	1917	0	0
basi	soddisfatto	12938	0	0
gruppo1	insofferente	893	0	0
basi	sofferente	1299	0	0
gruppo1	insolubile	392	0	0
basi	solubile	113	0	0
gruppo1	insopportabile	3570	14	53.72777
basi	sopportabile	796	0	0
gruppo1	insospettabile	2033	0	0
basi	sospettabile	224	0	0
gruppo1	insostenibile	2999	0	0
basi	sostenibile	1088	0	0
gruppo1	insostituibile	1489	0	0
basi	sostituibile	196	0	0
gruppo1	insperabile	34	0	0
basi	sperabile	178	0	0
gruppo1	inspiegabile	2121	0	0
basi	spiegabile	724	0	0
gruppo1	instabile	2023	0	0
basi	stabile	13348	0	0
gruppo1	insubordinato	35	0	0
basi	subordinato	708	0	0
gruppo1	insuperabile	1159	0	0
basi	superabile	450	0	0
gruppo1	insuperato	208	0	0
basi	superato	1443	0	0
gruppo1	intangibile	313	0	0
basi	tangibile	1477	0	0
gruppo1	intempestivo	487	0	0
basi	tempestivo	2066	0	0
gruppo1	intollerabile	2578	8	27.19126
basi	tollerabile	925	7	35.70596
gruppo1	intollerante	680	0	0
basi	tollerante	1262	0	0
gruppo1	intraducibile	220	0	0
basi	traducibile	176	0	0
gruppo1	intrattabile	266	0	0
basi	trattabile	166	0	0
gruppo1	inusuale	911	0	0
basi	usuale	807	6	30.39844
gruppo1	inutilizzabile	560	0	0
basi	utilizzabile	1122	0	0
gruppo1	invalicabile	891	0	0
basi	valicabile	35	0	0
gruppo1	invalido	874	0	0
basi	valido	12507	0	0
gruppo1	invariabile	62	0	0
basi	variabile	1417	0	0
gruppo1	invariato	4351	0	0
basi	variato	230	0	0
gruppo1	invendibile	143	0	0
basi	vendibile	468	0	0
gruppo1	invenduto	789	0	0
basi	venduto	86	0	0
gruppo1	inverosimile	1469	8	35.7107
basi	verosimile	1795	30	199.87397
gruppo1	invisibile	4882	0	0
basi	visibile	6524	0	0
gruppo1	invivibile	376	0	0
basi	vivibile	491	0	0
gruppo1	involontario	2284	0	0
basi	volontario	526	0	0
gruppo1	involuto	200	0	0
basi	voluto	1409	0	0
gruppo1	invulnerabile	253	0	0
basi	vulnerabile	2003	0	0
gruppo1	irraggiungibile	1260	0	0
basi	raggiungibile	1074	0	0
gruppo1	irragionevole	561	24	205.25794
basi	ragionevole	6255	348	3164.08563
gruppo1	irrazionale	1736	6	21.5997
basi	razionale	3757	7	17.31616
gruppo1	irrealistico	295	44	490.89367
basi	realistico	5098	132	995.12794
gruppo1	irrealizzabile	586	0	0
basi	realizzabile	996	0	0
gruppo1	irrecuperabile	445	0	0
basi	recuperabile	210	0	0
gruppo1	irregolare	3290	0	0
basi	regolare	11886	0	0
gruppo1	irreperibile	611	0	0
basi	reperibile	608	0	0
gruppo1	irresistibile	4206	0	0
basi	resistibile	111	0	0
gruppo1	irrespirabile	360	0	0
basi	respirabile	85	0	0
gruppo1	irreversibile	2961	0	0
basi	reversibile	326	0	0
gruppo1	irrevocabile	924	0	0
basi	revocabile	128	0	0
gruppo1	irriconoscibile	1260	0	0
basi	riconoscibile	1930	0	0
gruppo1	irriducibile	2922	0	0
basi	riducibile	269	0	0
gruppo1	irriferibile	30	0	0
basi	riferibile	315	0	0
gruppo1	irriflessivo	31	0	0
basi	riflessivo	792	0	0
gruppo1	irriguardoso	207	0	0
basi	riguardoso	73	0	0
gruppo1	irrilevante	2127	12	54.38254
basi	rilevante	10976	5	0
gruppo1	irrimediabile	747	0	0
basi	rimediabile	116	0	0
gruppo1	irrintracciabile	56	0	0
basi	rintracciabile	319	0	0
gruppo1	irrinunciabile	2375	0	0
basi	rinunciabile	26	0	0
gruppo1	irripetibile	1958	0	0
basi	ripetibile	364	0	0
gruppo1	irrisolto	2834	0	0
basi	risolto	1388	0	0
gruppo1	irrisolvibile	235	0	0
